id,latitude,longitude,high_temp,low_temp,humid,wind_speed,rain,icon,uv,sunrise,sunset,time
0,18,99,29.7,22.7,3.24,13.4,100,3,6.45,2023-06-06T22:46,2023-06-07T11:59,2023-06-07
1,18,99,29,22.3,2.37,13.7,100,3,8.25,2023-06-07T22:46,2023-06-08T11:59,2023-06-08
2,18,99,26.9,21.8,1.66,10.4,97,3,8.2,2023-06-08T22:46,2023-06-09T11:59,2023-06-09
3,18,99,28.2,21.6,2.3,15.5,77,63,7.55,2023-06-09T22:46,2023-06-10T12:00,2023-06-10
4,18,99,29,22.4,2.12,13.9,74,3,9,2023-06-10T22:46,2023-06-11T12:00,2023-06-11
5,18,99,27.7,23,2.26,11.6,81,3,8.45,2023-06-11T22:46,2023-06-12T12:00,2023-06-12
6,18,99,27.9,22.8,1.69,19.9,81,61,4.75,2023-06-12T22:46,2023-06-13T12:01,2023-06-13
7,18,99,27.5,21.2,1.14,18.4,71,80,3.05,2023-06-13T22:47,2023-06-14T12:01,2023-06-14
8,18,99,27.8,21.4,2.22,10.6,77,55,6.7,2023-06-14T22:47,2023-06-15T12:01,2023-06-15
9,18,99,30.1,21.7,4.45,10.1,71,53,7.4,2023-06-15T22:47,2023-06-16T12:01,2023-06-16
10,18,99,28.9,21.6,3.75,15.2,,53,5.95,2023-06-16T22:47,2023-06-17T12:02,2023-06-17
11,18,99,28.9,22.1,3.22,12.5,,51,4.45,2023-06-17T22:47,2023-06-18T12:02,2023-06-18
12,18,99,31.2,21.5,4.14,12.7,,3,5.95,2023-06-18T22:47,2023-06-19T12:02,2023-06-19
13,18,99,26.8,22.4,2.96,16.1,,51,4.7,2023-06-19T22:48,2023-06-20T12:02,2023-06-20
