id,latitude,longitude,temperature,high_temp,low_temp,humid,dewpoint,pressure,cloudcover,wind_speed,rain,icon,visibility,uv,sunrise,sunset,time,city
0,18.625,99.125,26.8,31,25.3,81,23.3,96,1005.8,2.1,48,3,18680,9.05,2023-06-08T12:01,2023-06-07T22:44,2023-06-08T00:00,"Chiang Mai"
1,18.625,99.125,27,31,25.3,80,23.2,95,1006.4,4,65,3,13060,9.05,2023-06-08T12:01,2023-06-07T22:44,2023-06-08T01:00,"Chiang Mai"
2,18.625,99.125,27.3,31,25.3,79,23.4,100,1007,6,83,3,18000,9.05,2023-06-08T12:01,2023-06-07T22:44,2023-06-08T02:00,"Chiang Mai"
3,18.625,99.125,28.3,31,25.3,75,23.5,100,1007.4,5.9,100,3,11720,9.05,2023-06-08T12:01,2023-06-07T22:44,2023-06-08T03:00,"Chiang Mai"
4,18.625,99.125,29.1,31,25.3,73,23.8,95,1007,5.2,100,3,13440,9.05,2023-06-08T12:01,2023-06-07T22:44,2023-06-08T04:00,"Chiang Mai"
5,18.625,99.125,29.7,31,25.3,71,23.9,100,1006.3,6.9,100,3,19100,9.05,2023-06-08T12:01,2023-06-07T22:44,2023-06-08T05:00,"Chiang Mai"
6,18.625,99.125,31,31,25.3,64,23.4,100,1005.3,8.4,100,95,24140,9.05,2023-06-08T12:01,2023-06-07T22:44,2023-06-08T06:00,"Chiang Mai"
7,18.625,99.125,29.4,31,25.3,73,24.1,100,1004.7,7.6,100,95,24140,9.05,2023-06-08T12:01,2023-06-07T22:44,2023-06-08T07:00,"Chiang Mai"
8,18.625,99.125,30,31,25.3,70,23.9,100,1003.6,6.5,100,80,24140,9.05,2023-06-08T12:01,2023-06-07T22:44,2023-06-08T08:00,"Chiang Mai"
9,18.625,99.125,30.5,31,25.3,68,23.9,100,1002.8,5.4,100,3,22460,9.05,2023-06-08T12:01,2023-06-07T22:44,2023-06-08T09:00,"Chiang Mai"
10,18.625,99.125,29.2,31,25.3,76,24.5,100,1002.8,9,98,95,15020,9.05,2023-06-08T12:01,2023-06-07T22:44,2023-06-08T10:00,"Chiang Mai"
11,18.625,99.125,27.3,31,25.3,83,24.1,100,1003.5,6.8,96,81,20460,9.05,2023-06-08T12:01,2023-06-07T22:44,2023-06-08T11:00,"Chiang Mai"
12,18.625,99.125,27.1,31,25.3,81,23.6,100,1004.1,3.8,94,3,21980,9.05,2023-06-08T12:01,2023-06-07T22:44,2023-06-08T12:00,"Chiang Mai"
13,18.625,99.125,26.9,31,25.3,83,23.7,100,1005,2.3,91,3,24140,9.05,2023-06-08T12:01,2023-06-07T22:44,2023-06-08T13:00,"Chiang Mai"
14,18.625,99.125,26.7,31,25.3,85,23.9,100,1005.9,2.2,87,3,24140,9.05,2023-06-08T12:01,2023-06-07T22:44,2023-06-08T14:00,"Chiang Mai"
