id,latitude,longitude,temperature,high_temp,low_temp,humid,dewpoint,pressure,cloudcover,wind_speed,rain,icon,visibility,uv,sunrise,sunset,time,city
0,51.5,-0.120000124,10.7,21.8,10.3,83,7.9,57,1021.6,13.3,0,2,24140,6.9,2023-06-08T20:16,2023-06-08T03:42,2023-06-08T00:00,London
1,51.5,-0.120000124,10.4,21.8,10.3,85,8,82,1021.4,13.5,0,2,24140,6.9,2023-06-08T20:16,2023-06-08T03:42,2023-06-08T01:00,London
2,51.5,-0.120000124,10.3,21.8,10.3,85,7.9,84,1021.1,13.2,0,3,24140,6.9,2023-06-08T20:16,2023-06-08T03:42,2023-06-08T02:00,London
3,51.5,-0.120000124,10.4,21.8,10.3,87,8.3,94,1020,13.7,0,3,24140,6.9,2023-06-08T20:16,2023-06-08T03:42,2023-06-08T03:00,London
4,51.5,-0.120000124,10.3,21.8,10.3,87,8.3,100,1020.1,13.1,0,3,24140,6.9,2023-06-08T20:16,2023-06-08T03:42,2023-06-08T04:00,London
5,51.5,-0.120000124,10.4,21.8,10.3,86,8.2,100,1020.2,13.2,0,3,24140,6.9,2023-06-08T20:16,2023-06-08T03:42,2023-06-08T05:00,London
6,51.5,-0.120000124,10.7,21.8,10.3,82,7.8,89,1020,13.2,0,3,24140,6.9,2023-06-08T20:16,2023-06-08T03:42,2023-06-08T06:00,London
7,51.5,-0.120000124,11.7,21.8,10.3,77,7.8,70,1020.2,12.5,0,2,24140,6.9,2023-06-08T20:16,2023-06-08T03:42,2023-06-08T07:00,London
8,51.5,-0.120000124,12.8,21.8,10.3,73,8.1,65,1020.2,14,0,2,24140,6.9,2023-06-08T20:16,2023-06-08T03:42,2023-06-08T08:00,London
9,51.5,-0.120000124,13.9,21.8,10.3,67,7.9,45,1020,13.5,0,2,24140,6.9,2023-06-08T20:16,2023-06-08T03:42,2023-06-08T09:00,London
10,51.5,-0.120000124,15.8,21.8,10.3,60,8,10,1019.3,13.1,0,1,24140,6.9,2023-06-08T20:16,2023-06-08T03:42,2023-06-08T10:00,London
11,51.5,-0.120000124,17.5,21.8,10.3,56,8.6,0,1018.7,13.3,0,0,24140,6.9,2023-06-08T20:16,2023-06-08T03:42,2023-06-08T11:00,London
12,51.5,-0.120000124,19.1,21.8,10.3,53,9.3,0,1018.3,13.6,0,0,24140,6.9,2023-06-08T20:16,2023-06-08T03:42,2023-06-08T12:00,London
13,51.5,-0.120000124,20.3,21.8,10.3,51,9.9,2,1017.7,14.3,0,0,24140,6.9,2023-06-08T20:16,2023-06-08T03:42,2023-06-08T13:00,London
14,51.5,-0.120000124,21.3,21.8,10.3,50,10.5,23,1017.2,14.6,0,1,24140,6.9,2023-06-08T20:16,2023-06-08T03:42,2023-06-08T14:00,London
15,51.5,-0.120000124,21.8,21.8,10.3,48,10.3,15,1016.5,15.6,0,1,24140,6.9,2023-06-08T20:16,2023-06-08T03:42,2023-06-08T15:00,London
16,51.5,-0.120000124,21.6,21.8,10.3,50,10.8,22,1015.9,15.9,0,1,24140,6.9,2023-06-08T20:16,2023-06-08T03:42,2023-06-08T16:00,London
17,51.5,-0.120000124,20.7,21.8,10.3,54,11.1,0,1015.5,16.2,0,0,24140,6.9,2023-06-08T20:16,2023-06-08T03:42,2023-06-08T17:00,London
18,51.5,-0.120000124,19.9,21.8,10.3,50,9.2,0,1015.6,16.5,0,0,24140,6.9,2023-06-08T20:16,2023-06-08T03:42,2023-06-08T18:00,London
19,51.5,-0.120000124,18.7,21.8,10.3,50,8.1,0,1016,16.2,0,0,24140,6.9,2023-06-08T20:16,2023-06-08T03:42,2023-06-08T19:00,London
20,51.5,-0.120000124,17.1,21.8,10.3,59,9,0,1016.5,15,0,0,24140,6.9,2023-06-08T20:16,2023-06-08T03:42,2023-06-08T20:00,London
21,51.5,-0.120000124,15.9,21.8,10.3,63,8.9,0,1016.6,13,0,0,24140,6.9,2023-06-08T20:16,2023-06-08T03:42,2023-06-08T21:00,London
22,51.5,-0.120000124,14.6,21.8,10.3,66,8.4,0,1016.4,14,0,0,24140,6.9,2023-06-08T20:16,2023-06-08T03:42,2023-06-08T22:00,London
23,51.5,-0.120000124,13.5,21.8,10.3,71,8.4,0,1016.1,13.7,0,0,24140,6.9,2023-06-08T20:16,2023-06-08T03:42,2023-06-08T23:00,London
24,51.5,-0.120000124,12.8,24.4,11.5,75,8.5,0,1015.7,14.1,0,0,24140,6.95,2023-06-09T20:17,2023-06-09T03:42,2023-06-09T00:00,London
25,51.5,-0.120000124,12.2,24.4,11.5,78,8.5,0,1015.5,13.4,0,0,24140,6.95,2023-06-09T20:17,2023-06-09T03:42,2023-06-09T01:00,London
26,51.5,-0.120000124,11.9,24.4,11.5,80,8.6,0,1015.3,13.3,0,0,24140,6.95,2023-06-09T20:17,2023-06-09T03:42,2023-06-09T02:00,London
27,51.5,-0.120000124,11.7,24.4,11.5,82,8.7,0,1014.9,12.8,0,0,24140,6.95,2023-06-09T20:17,2023-06-09T03:42,2023-06-09T03:00,London
28,51.5,-0.120000124,11.5,24.4,11.5,84,8.9,0,1014.6,12.5,0,0,24140,6.95,2023-06-09T20:17,2023-06-09T03:42,2023-06-09T04:00,London
29,51.5,-0.120000124,11.8,24.4,11.5,83,9,0,1014.4,13.3,0,0,24140,6.95,2023-06-09T20:17,2023-06-09T03:42,2023-06-09T05:00,London
30,51.5,-0.120000124,12.8,24.4,11.5,80,9.5,0,1014.5,14.2,0,0,24140,6.95,2023-06-09T20:17,2023-06-09T03:42,2023-06-09T06:00,London
31,51.5,-0.120000124,14.6,24.4,11.5,74,10,0,1014.6,15,0,0,24140,6.95,2023-06-09T20:17,2023-06-09T03:42,2023-06-09T07:00,London
32,51.5,-0.120000124,16.7,24.4,11.5,68,10.8,0,1014.6,15.7,0,0,24140,6.95,2023-06-09T20:17,2023-06-09T03:42,2023-06-09T08:00,London
33,51.5,-0.120000124,18.8,24.4,11.5,61,11.1,0,1014.5,16.9,0,0,24140,6.95,2023-06-09T20:17,2023-06-09T03:42,2023-06-09T09:00,London
34,51.5,-0.120000124,20.6,24.4,11.5,56,11.5,0,1014.1,17.4,0,0,24140,6.95,2023-06-09T20:17,2023-06-09T03:42,2023-06-09T10:00,London
35,51.5,-0.120000124,22,24.4,11.5,52,11.7,0,1013.7,17.8,0,0,24140,6.95,2023-06-09T20:17,2023-06-09T03:42,2023-06-09T11:00,London
36,51.5,-0.120000124,23.1,24.4,11.5,49,11.8,0,1013.3,17.9,0,0,24140,6.95,2023-06-09T20:17,2023-06-09T03:42,2023-06-09T12:00,London
