id,high_temp,low_temp,icon,time,city
0,33.6,24.2,2,2023-05-17,"Chiang Mai"
1,35.3,25.6,2,2023-05-18,"Chiang Mai"
2,35.9,25.5,2,2023-05-19,"Chiang Mai"
3,36.1,25.9,3,2023-05-20,"Chiang Mai"
4,37.1,25.9,3,2023-05-21,"Chiang Mai"
5,37,26.3,80,2023-05-22,"Chiang Mai"
6,36.3,25,95,2023-05-23,"Chiang Mai"
7,36.7,25.9,3,2023-05-24,"Chiang Mai"
8,36.2,26.1,3,2023-05-25,"Chiang Mai"
9,36.3,25.9,3,2023-05-26,"Chiang Mai"
10,36.7,25.3,3,2023-05-27,"Chiang Mai"
11,36.3,25.5,96,2023-05-28,"Chiang Mai"
12,34.2,25.4,80,2023-05-29,"Chiang Mai"
13,35.6,25.7,80,2023-05-30,"Chiang Mai"
14,36.8,25.6,96,2023-05-31,"Chiang Mai"
15,36.7,25.8,95,2023-06-01,"Chiang Mai"
16,35.8,25.8,80,2023-06-02,"Chiang Mai"
17,35.5,25.7,3,2023-06-03,"Chiang Mai"
18,35.8,25.8,80,2023-06-04,"Chiang Mai"
19,35.9,26.3,96,2023-06-05,"Chiang Mai"
20,33.6,25.4,95,2023-06-06,"Chiang Mai"
21,32.3,26.2,95,2023-06-07,"Chiang Mai"
22,31,25.3,95,2023-06-08,"Chiang Mai"
23,31.4,24.7,80,2023-06-09,"Chiang Mai"
24,32,24.6,95,2023-06-10,"Chiang Mai"
25,31.8,25.3,95,2023-06-11,"Chiang Mai"
26,31.2,24.2,80,2023-06-12,"Chiang Mai"
27,29.6,24.2,61,2023-06-13,"Chiang Mai"
28,27.5,23.6,95,2023-06-14,"Chiang Mai"
29,26.7,23.9,80,2023-06-15,"Chiang Mai"
30,32.4,23.1,53,2023-06-16,"Chiang Mai"
31,34.2,24,51,2023-06-17,"Chiang Mai"
32,34,25.3,51,2023-06-18,"Chiang Mai"
33,34.2,25.6,3,2023-06-19,"Chiang Mai"
34,32.7,25.1,51,2023-06-20,"Chiang Mai"
