id,high_temp,low_temp,icon,time,city
0,17.3,8.2,3,2023-05-17,London
1,18.9,9.6,3,2023-05-18,London
2,17.4,9.5,61,2023-05-19,London
3,19.3,7.5,3,2023-05-20,London
4,18.6,8.1,3,2023-05-21,London
5,19.1,10.9,3,2023-05-22,London
6,17.9,9.4,3,2023-05-23,London
7,20.7,9.6,3,2023-05-24,London
8,17.4,11,3,2023-05-25,London
9,18.4,8.5,2,2023-05-26,London
10,20,8.2,3,2023-05-27,London
11,22,8.4,3,2023-05-28,London
12,17.5,8.5,3,2023-05-29,London
13,16.6,8.9,3,2023-05-30,London
14,18.2,10.8,3,2023-05-31,London
15,18.6,9.9,3,2023-06-01,London
16,18.2,10.2,3,2023-06-02,London
17,22.2,8.1,3,2023-06-03,London
18,21.7,9.5,2,2023-06-04,London
19,17.6,10,3,2023-06-05,London
20,16.8,10.9,3,2023-06-06,London
21,20.9,10.7,3,2023-06-07,London
22,21.8,10.3,3,2023-06-08,London
23,24.4,11.5,3,2023-06-09,London
24,29.4,15,3,2023-06-10,London
25,29.2,17.9,3,2023-06-11,London
26,30.3,18.7,3,2023-06-12,London
27,27.3,17.4,0,2023-06-13,London
28,25.7,14.3,1,2023-06-14,London
29,24.2,13.1,3,2023-06-15,London
30,23.5,13.8,1,2023-06-16,London
31,15.3,12.3,55,2023-06-17,London
32,20.7,11.8,53,2023-06-18,London
33,15,11.7,61,2023-06-19,London
34,17.3,10.7,3,2023-06-20,London
