id,latitude,longitude,high_temp,low_temp,humid,wind_speed,rain,icon,uv,sunrise,sunset,time,city
0,18.625,99.125,31,25.3,2.62,9,100,95,9.05,2023-06-07T22:44,2023-06-08T12:01,2023-06-08,"Chiang Mai"
1,18.625,99.125,31.4,24.7,3.31,11.6,94,80,9.1,2023-06-08T22:45,2023-06-09T12:01,2023-06-09,"Chiang Mai"
2,18.625,99.125,32,24.6,3.29,7.1,94,95,8.6,2023-06-09T22:45,2023-06-10T12:01,2023-06-10,"Chiang Mai"
3,18.625,99.125,31.8,25.3,3.57,8.4,97,95,7.7,2023-06-10T22:45,2023-06-11T12:01,2023-06-11,"Chiang Mai"
4,18.625,99.125,31.2,24.2,3.84,11.1,94,80,8.5,2023-06-11T22:45,2023-06-12T12:02,2023-06-12,"Chiang Mai"
5,18.625,99.125,29.6,24.2,2.79,13.2,87,61,7.75,2023-06-12T22:45,2023-06-13T12:02,2023-06-13,"Chiang Mai"
6,18.625,99.125,27.5,23.6,2.17,11.5,87,95,8,2023-06-13T22:45,2023-06-14T12:02,2023-06-14,"Chiang Mai"
7,18.625,99.125,26.7,23.9,1.45,7.6,94,80,8.3,2023-06-14T22:45,2023-06-15T12:03,2023-06-15,"Chiang Mai"
8,18.625,99.125,32.4,23.1,3.96,10.9,77,53,5.95,2023-06-15T22:45,2023-06-16T12:03,2023-06-16,"Chiang Mai"
9,18.625,99.125,34.2,24,4.12,6,84,51,6.8,2023-06-16T22:45,2023-06-17T12:03,2023-06-17,"Chiang Mai"
10,18.625,99.125,34,25.3,3.3,7.2,,51,4.9,2023-06-17T22:46,2023-06-18T12:04,2023-06-18,"Chiang Mai"
11,18.625,99.125,34.2,25.6,4.44,6.9,,3,6.5,2023-06-18T22:46,2023-06-19T12:04,2023-06-19,"Chiang Mai"
12,18.625,99.125,32.7,25.1,4.81,13,,51,7.05,2023-06-19T22:46,2023-06-20T12:04,2023-06-20,"Chiang Mai"
13,18.625,99.125,29.6,24.6,4.27,9.8,,55,6.1,2023-06-20T22:46,2023-06-21T12:04,2023-06-21,"Chiang Mai"
